Company_Name,Company_Link,ad_cat,Star Rating,Review Text,Review Date,Reviewer Role,Location
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",5.0,Working with the staff's who doesn't work as team.,Apr 2017,Factory Worker,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",5.0,the most difficult in JBS no job rotation some people or employees were been kept on one job for years.,Apr 2017,K/floor and b/ room,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",3.0,Having to do things in sort notice. Working in extreme heat,Apr 2017,Rendering plant operator,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",5.0,"A bit difficult to get use to both jobs but once you know how to do them, easy as",Apr 2017,S/F,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",3.0,Early starts..transport is a must..very physical fast paced work.,Apr 2017,Meat Packer,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",1.0,Making it through the day & Dealing with bad management decisions,Apr 2017,Maintenance Superviser,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",5.0,"Time management when temperatures weren't right, loading containers with minimal staff.",Apr 2017,Night Shift Supervisor,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",4.0,hours required if you have a young family,Apr 2017,Foreman boneing room,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",5.0,Weather is the biggest challenge with outside work.,Apr 2017,Stockperson,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",4.0,"Incredibly repetitive work, low pay level regardless of having several years of experience, disorganised management, unrealistic expectations within given time frame and were unwilling to help advance my career despite several attempts to move forward and even sideways just for the sake of a change",Sep 2016,Heavy Machinery operator,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",2.0,"Upper management arent consistent with with plans for plant uprgrades, workflow or employees e.g. Hired one week, fired the next only to be hired again.",Sep 2016,Multi-skilled worker,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",1.0,trying to keepm up with the speed of the chainterrible,Sep 2016,Forklift Driver,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",1.0,"No orgainisation or leadership, let alone respect for their workers.",Sep 2016,Labourer,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",5.0,"Long time standing, very hard work, fast pace environment",Sep 2016,Roller room operation,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",5.0,Always there is something new to know..,Sep 2016,Meat process worker,
,https://www.seek.com.au/companies/jbs-433467,"farm, manu",4.0,Very Hard Job. Need physical activities.,Sep 2016,Meat Processor,
